track,freq,mode,model,rmse,mae,r2,balance_rmse,balance_mae,pinball,coverage
D-direct,D,direct,baseline,252.127,131.384,-0.039,252.127,131.384,,
D-direct,D,direct,linear,266.663,209.22,-0.162,266.663,209.22,,
D-direct,D,direct,tree,251.051,161.646,-0.03,251.051,161.646,54.12,0.783
D-direct,D,direct,sarima,235.272,124.758,0.096,235.272,124.758,,
D-decomposed,D,decomposed,baseline,252.127,131.384,-0.039,252.127,131.384,,
D-decomposed,D,decomposed,linear,274.992,200.994,-0.236,274.992,200.994,,
D-decomposed,D,decomposed,tree,248.908,156.018,-0.012,248.908,156.018,54.49,0.817
D-decomposed,D,decomposed,sarima,496.415,221.908,-3.026,496.415,221.908,,
W-direct,W,direct,baseline,700.27,416.197,-0.09,700.27,416.197,,
W-direct,W,direct,linear,480.928,371.352,0.486,480.928,371.352,,
W-direct,W,direct,tree,463.003,313.112,0.523,463.003,313.112,111.27,0.667
W-direct,W,direct,sarima,677.488,375.253,-0.02,677.488,375.253,,
W-decomposed,W,decomposed,baseline,700.27,416.197,-0.09,700.27,416.197,,
W-decomposed,W,decomposed,linear,476.875,335.892,0.494,476.875,335.892,115.88,0.667
W-decomposed,W,decomposed,tree,551.409,357.836,0.324,551.409,357.836,,
W-decomposed,W,decomposed,sarima,696.596,514.067,-0.079,696.596,514.067,,
